Lipid class	Lipid class	Start tR (min)	End tR (min)	Lower m/z threshold	Upper m/z threshold	RF
1	CE	0.56	0.82	550	700	1.7
2	TG	0.82	1.18	710	1081	0.29
3	DG	1.18	1.55	450	741	0.35
4	FC	1.36	1.39	369.35	369.4	72.64
5	MG	1.6	1.86	280	430	1.25
6	CER	2.02	2.13	460	764	0.32
7	HexCer	3.02	3.13	623	864	0.56
8	HexCer(OH)	3.26	3.3	665	894	0.56
9	PG	3.6	3.75	667	914	41.77
10	PE	3.89	4.03	580	900	3.59
11	LPE	4.39	4.45	397	590	23.69
12	PC	4.76	4.83	620	980	1
13	SM	4.91	5.05	625	870	1.98
14	LPC	5	5.25	410	610	4.4
