Compound	m/z	Retention time (min)	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10
4.47_383.1165m/z	383.1165	4.47	1227.3	906.7	1096.6	1076.8	914.4	716.9	837.2	833.3	654.7	1425.6
3.22_393.2099m/z	393.2099	3.22	1019.1	918.6	873.5	913.7	1003.5	896.8	942.4	987.2	1023.6	949.1
2.79_644.4941m/z	644.4941	2.79	1018.6	917.0	940.3	1012.7	1041.2	1335.5	1295.2	1367.8	1357.6	965.8
4.60_353.1456m/z	353.1456	4.60	1100.7	1130.6	1096.7	1145.5	1047.7	1104.6	1091.2	1115.6	1066.9	1097.7
4.83_162.1495m/z	162.1495	4.83	1087.8	1112.7	1008.6	1038.6	1057.6	1078.8	1020.7	1023.3	1060.4	1137.9
2.19_512.4156m/z	512.4156	2.19	1035.1	968.4	1012.3	1051.9	1079.6	1539.9	1451.7	1486.0	1503.4	1090.4
2.45_246.2428m/z	246.2428	2.45	1065.2	1056.2	963.1	1034.4	1087.6	1023.3	989.1	1092.6	1073.5	1018.1
4.52_872.5430m/z	872.5430	4.52	1171.3	1096.7	1089.2	1028.5	1116.0	1172.6	1176.2	1183.4	1232.4	1273.9
4.11_652.4115m/z	652.4115	4.11	1087.8	1105.9	1071.5	1038.4	1139.6	1118.9	1113.9	1040.1	1109.1	1212.4
3.22_422.8917m/z	422.8917	3.22	1138.7	1085.4	1092.0	1055.0	1179.1	1087.4	1057.3	1069.6	1114.8	1137.0
4.47_413.1171m/z	413.1171	4.47	1254.2	1118.0	1155.5	1159.1	1183.1	1044.0	1110.0	1041.6	1071.8	1184.4
1.27_328.2402n	351.2299	1.27	1123.4	957.7	1092.8	980.1	1184.8	1761.2	2007.5	1764.5	1984.4	3123.0
2.61_600.4678m/z	600.4678	2.61	1064.5	1129.7	1119.1	1052.7	1200.0	1543.2	1567.7	1560.9	1563.5	1178.2
0.98_629.5493m/z	629.5493	0.98	1281.5	1240.6	1087.6	1163.0	1200.8	2286.7	2271.5	2382.6	2388.0	2617.5
0.74_102.1284m/z	102.1284	0.74	1089.1	1072.9	995.1	1054.9	1253.5	1235.1	1057.4	1088.4	1072.9	1097.3
1.03_946.7851m/z	946.7851	1.03	1331.8	1176.0	1137.3	1211.5	1266.6	2357.1	2214.6	2311.8	2336.5	2453.5
1.28_629.5492m/z	629.5492	1.28	1359.3	1361.1	1166.9	1195.7	1268.1	2619.1	2492.5	2643.1	2607.8	2795.2
3.22_359.9379n	342.9346	3.22	1250.8	1222.4	1169.1	1263.1	1282.9	1300.8	1181.3	1265.9	1266.2	1299.0
0.85_764.5745m/z	764.5745	0.85	1181.5	1212.0	1290.5	1224.2	1284.8	1371.4	1288.7	1485.7	1194.6	1243.6
1.34_311.2558m/z	311.2558	1.34	1314.8	1296.0	1202.4	1116.1	1293.1	2299.9	2345.1	2269.9	2328.2	2481.8
3.22_261.1315m/z	261.1315	3.22	1324.4	1292.6	1331.0	1267.3	1296.2	1235.8	1295.2	1357.3	1383.5	1334.8
0.56_669.3342m/z	669.3342	0.56	1380.9	1279.8	1172.7	1240.6	1298.8	2570.1	2458.3	2422.8	2492.7	2643.6
0.55_529.4647m/z	529.4647	0.55	1282.4	1251.6	1299.0	1305.1	1302.2	1364.2	1342.8	1370.1	1369.6	599.6
3.22_253.9733n	276.9627	3.22	1327.0	1340.9	1261.1	1241.7	1323.5	1253.3	1311.8	1292.6	1327.4	1314.4
